item,itemLabel,positionLabel,height,mass,genderLabel,followers
http://www.wikidata.org/entity/Q175335,Mahmut Hanefi Erdoğdu,stoper,,,erkek,
http://www.wikidata.org/entity/Q1410249,Fevzi Özkan,orta saha,,,erkek,
http://www.wikidata.org/entity/Q176569,Emrecan Afacanoğlu,savunma,,,erkek,
http://www.wikidata.org/entity/Q263581,Çetin Zeybek,orta saha,183,,erkek,
http://www.wikidata.org/entity/Q60836,Tunay Torun,kanat,179,72,erkek,
http://www.wikidata.org/entity/Q178545,Vedat İnceefe,savunma,,,erkek,
http://www.wikidata.org/entity/Q1502734,Gençer Cansev,savunma,,,erkek,
http://www.wikidata.org/entity/Q249875,Taşkın Çalış,orta saha,,,erkek,
http://www.wikidata.org/entity/Q1409422,Gökhan Gümüşsu,Forvet,,,erkek,
http://www.wikidata.org/entity/Q187240,Zekeriya Topayan,kaleci,,,erkek,
http://www.wikidata.org/entity/Q60841,Mehmet Ekici,orta saha,180,70,erkek,
http://www.wikidata.org/entity/Q187256,Zeki Ayvaz,kaleci,,,erkek,
http://www.wikidata.org/entity/Q198254,Mehmet Umut Nayir,Forvet,,,erkek,
http://www.wikidata.org/entity/Q1401074,Göksu Türkdoğan,orta saha,,,erkek,
http://www.wikidata.org/entity/Q272808,Çetin Güngör,savunma,,,erkek,
http://www.wikidata.org/entity/Q179913,Ahmet Üçgün,kaleci,,,erkek,
http://www.wikidata.org/entity/Q174340,Hakan Ateş,fullback,,,erkek,
http://www.wikidata.org/entity/Q262935,Mehmet Batdal,Forvet,195,86,erkek,
http://www.wikidata.org/entity/Q209992,Volkan Demirel,kaleci,191,92,erkek,800145
http://www.wikidata.org/entity/Q1480628,Mustafa Sert,savunma,180,,erkek,
http://www.wikidata.org/entity/Q113383,Serkan Çiftçi,Forvet,,,erkek,
http://www.wikidata.org/entity/Q175335,Mahmut Hanefi Erdoğdu,savunma,,,erkek,
http://www.wikidata.org/entity/Q113985,Mehmet Eren Boyraz,kanat,183,80,erkek,
http://www.wikidata.org/entity/Q272734,Çağlar Birinci,fullback,180,73,erkek,
http://www.wikidata.org/entity/Q39209,Koray Günter,stoper,184,79,erkek,
http://www.wikidata.org/entity/Q102805,Tufan Tosunoğlu,Forvet,,,erkek,
http://www.wikidata.org/entity/Q177806,Cihan Kaptan,savunma,176,,erkek,
http://www.wikidata.org/entity/Q1498622,Süleyman Koç,orta saha,178,75,erkek,
http://www.wikidata.org/entity/Q49790,Guido Koçer,kanat,,,erkek,
http://www.wikidata.org/entity/Q156638,Halil Altıntop,kanat,186,82,erkek,
http://www.wikidata.org/entity/Q164252,Serdar Döndü,orta saha,,,erkek,
http://www.wikidata.org/entity/Q61655,Gökhan Töre,Forvet,176,70,erkek,60596
http://www.wikidata.org/entity/Q71390,Deniz Yılmaz,Forvet,182,,erkek,
http://www.wikidata.org/entity/Q1456737,Tolga Han Ulusoy,orta saha,,,erkek,
http://www.wikidata.org/entity/Q1423474,Kadir Atkın,savunma,,,erkek,
http://www.wikidata.org/entity/Q1440146,Kerem Can Akyüz,savunma,,,erkek,
http://www.wikidata.org/entity/Q1491215,Mustafa Reşit Akçay,,,,erkek,
http://www.wikidata.org/entity/Q1406254,Ferhat Odabaşı,kaleci,,,erkek,
http://www.wikidata.org/entity/Q123736,Yusuf Kasal,orta saha,,,erkek,
http://www.wikidata.org/entity/Q187237,Zekeriya Kacaroğlu,orta saha,,,erkek,
http://www.wikidata.org/entity/Q67631,Sercan Sararer,orta saha,180,,erkek,
http://www.wikidata.org/entity/Q793016,Aykut Öztürk,Forvet,,,erkek,
